aaaaaaand                                    3027 lines
apt                                          508 lines
aqua-lung                                    14583 lines
aqua-lungs                                   14579 lines
ar                                           13790 lines
arabella                                     21604 lines
arced                                        20116 lines
arched                                       11123 lines
archie                                       2469 lines
arcs                                         13906 lines
are                                          22145 lines
area                                         12498 lines
aren                                         11782 lines
aren't                                       21483 lines
argue                                        6919 lines
arguing                                      21244 lines
argument                                     13131 lines
arguments                                    3196 lines
argus                                        7122 lines
arisen                                       7376 lines
arithmancy                                   17475 lines
arm                                          21507 lines
arm's                                        8123 lines
armadillo                                    15673 lines
armchair                                     17489 lines
armchairs                                    5710 lines
armed                                        15385 lines
armful                                       4595 lines
arming                                       6525 lines
armor                                        19027 lines
armpits                                      5697 lines
arms                                         21656 lines
army                                         19758 lines
arnie                                        2447 lines
arnold                                       6071 lines
arose                                        11214 lines
aroun                                        14653 lines
around                                       22096 lines
arousing                                     20503 lines
arrange                                      19938 lines
arranged                                     12507 lines
arrangements                                 13346 lines
arrest                                       759 lines
arrested                                     21085 lines
arrgh                                        5078 lines
arrival                                      15459 lines
arrive                                       22208 lines
arrived                                      21986 lines
arriving                                     16835 lines
arrogant                                     22077 lines
arry                                         5464 lines
art                                          18618 lines
artfully                                     12666 lines
arthur                                       21535 lines
arthur's                                     21532 lines
arthur??it's                                 4120 lines
artichoke                                    9788 lines
article                                      21710 lines
artifact                                     2609 lines
artifacts                                    6061 lines
arts                                         21729 lines
as                                           22266 lines
ascent                                       18309 lines
ascertained                                  13448 lines
ash                                          9345 lines
ashamed                                      16274 lines
ashen-faced                                  12038 lines
aside                                        21583 lines
ask                                          22131 lines
askance                                      9716 lines
asked                                        22173 lines
askew                                        9955 lines
asking                                       22142 lines
asks                                         21434 lines
asleep                                       21232 lines
asn't                                        8400 lines
aspects                                      7181 lines
aspiring                                     7717 lines
assassination                                8412 lines
assemble                                     7086 lines
assembled                                    10541 lines
assent                                       6320 lines
assigned                                     7017 lines
assist                                       17844 lines
assistance                                   18195 lines
assistant                                    16093 lines
associated                                   18628 lines
associating                                  13307 lines
assorted                                     717 lines
assortment                                   20628 lines
assume                                       21375 lines
assumed                                      19912 lines
assuming                                     12620 lines
assure                                       21191 lines
assured                                      19864 lines
assuring                                     15383 lines
astonished                                   21329 lines
astonishing                                  6954 lines
astonishment                                 20123 lines
astounded                                    20629 lines
astray                                       16002 lines
astronomy                                    5181 lines
asunder                                      21913 lines
at                                           22263 lines
at's                                         5406 lines
ate                                          9427 lines
atmosphere                                   18054 lines
attached                                     19715 lines
attaching                                    17241 lines
attachments                                  12410 lines
attack                                       21810 lines
attacked                                     20881 lines
attackers                                    18512 lines
attacking                                    17433 lines
attacks                                      18613 lines
attained                                     6271 lines
attempt                                      21868 lines
attempted                                    18599 lines
attempting                                   18500 lines
attempts                                     17048 lines
attend                                       18595 lines
attended                                     20000 lines
attending                                    16835 lines
attention                                    19913 lines
attentive                                    7256 lines
attentiveness                                7679 lines
attic                                        4563 lines
attitude                                     21603 lines
attract                                      19913 lines
attracted                                    18199 lines
attracting                                   11745 lines
attractions                                  9940 lines
attractive                                   9199 lines
audible                                      399 lines
audience                                     10540 lines
august                                       18314 lines
augustus                                     17938 lines
aunt                                         16764 lines
aura                                         21458 lines
auror                                        20836 lines
auror's                                      14271 lines
aurors                                       19852 lines
australia                                    1718 lines
authority                                    14286 lines
authorized                                   15928 lines
autograph                                    21972 lines
automatically                                8180 lines
autumn                                       7208 lines
avada                                        20093 lines
available                                    18505 lines
ave                                          17096 lines
average                                      9015 lines
avery                                        19694 lines
avery??nott??crabbe??goyle                   21404 lines
avidly                                       7539 lines
avis                                         9366 lines
avoid                                        21801 lines
avoided                                      21800 lines
avoiding                                     21708 lines
awaiting                                     19916 lines
awake                                        21363 lines
award                                        15334 lines
awarded                                      7169 lines
aware                                        21153 lines
away                                         22168 lines
awed                                         22228 lines
awestruck                                    2794 lines
awful                                        14407 lines
awhile                                       13904 lines
awkward                                      13869 lines
awkwardly                                    18005 lines
awoke                                        20853 lines
awoken                                       17589 lines
axle                                         9789 lines
axminster                                    2617 lines
aye                                          2193 lines
az                                           21939 lines
azkaban                                      21430 lines
b-blood                                      19504 lines
babble                                       18026 lines
babies                                       14654 lines
baby                                         19422 lines
baby-blue                                    13537 lines
back                                         22264 lines
back's                                       6142 lines
back-to-front                                4667 lines
backed                                       21701 lines
backing                                      21468 lines
backpack                                     2253 lines
backpacks                                    2087 lines
backs                                        20808 lines
backside                                     17454 lines
backtracked                                  19036 lines
backward                                     21576 lines
bacon                                        16333 lines
bad                                          20802 lines
bad-tempered                                 13067 lines
baddock                                      5321 lines
badge                                        14786 lines
badger                                       21707 lines
badgering                                    7195 lines
badges                                       16584 lines
badly                                        20423 lines
bag                                          22234 lines
baggy                                        889 lines
bagman                                       22202 lines
bagman's                                     18909 lines
bagpipe                                      12701 lines
bagpipes                                     12663 lines
bags                                         11654 lines
balaclava                                    4496 lines
balance                                      1373 lines
balanced                                     9192 lines
balancing                                    8859 lines
bald                                         3050 lines
balderdash                                   11250 lines
balding                                      17519 lines
baleful                                      5987 lines
ball                                         20527 lines
ball-shaped                                  11331 lines
balled                                       21274 lines
balloon                                      5080 lines
balls                                        16672 lines
ballycastle                                  11830 lines
bamboozle                                    8421 lines
ban                                          12879 lines
banana                                       13866 lines
banana-yellow                                13623 lines
band                                         19653 lines
bandaged                                     16448 lines
bandy-legged                                 1658 lines
bang                                         19183 lines
bang-ended                                   11182 lines
banged                                       17207 lines
banges                                       15690 lines
banging                                      14193 lines
bangles                                      12505 lines
bangs                                        22101 lines
banish                                       13839 lines
banished                                     19752 lines
banishing                                    17457 lines
banisters                                    12271 lines
bank                                         15254 lines
banks                                        7424 lines
banned                                       16538 lines
banner                                       18588 lines
banners                                      10992 lines
banshee                                      11026 lines
bar                                          15696 lines
bare                                         14976 lines
bared                                        15004 lines
barely                                       17893 lines
bargain                                      11077 lines
barging                                      11302 lines
bargo                                        2604 lines
baring                                       21345 lines
bark                                         15955 lines
barked                                       18041 lines
barking                                      21731 lines
barks                                        13388 lines
barmy                                        11480 lines
barn                                         17246 lines
baron                                        11235 lines
barred                                       20555 lines
barrel                                       8043 lines
barrels                                      11795 lines
barricade                                    13762 lines
barricaded                                   11117 lines
barrier                                      22252 lines
barriers                                     18507 lines
barring                                      9470 lines
barry                                        8492 lines
bars                                         15971 lines
bartemius                                    14100 lines
barty                                        21323 lines
barty'll                                     2546 lines
bartys                                       13510 lines
base                                         7343 lines
based                                        20840 lines
baseless                                     5952 lines
bashing                                      5491 lines
bashir                                       12878 lines
bashir's                                     2598 lines
basic                                        10211 lines
basically                                    11914 lines
basil                                        4268 lines
basilisk                                     8427 lines
basin                                        18220 lines
basin's                                      17730 lines
baskets                                      8941 lines
bass                                         14125 lines
bat                                          17177 lines
batch                                        5376 lines
bath                                         14215 lines
bathed                                       5933 lines
bathroom                                     15058 lines
baths                                        13955 lines
batlike                                      11332 lines
baton                                        9316 lines
batons                                       7951 lines
bats                                         11830 lines
battered                                     1666 lines
batteries                                    1239 lines
battle                                       21106 lines
battling                                     3300 lines
bauble                                       12352 lines
bawled                                       11515 lines
be                                           22241 lines
be'er                                        5831 lines
beach                                        556 lines
bead                                         20157 lines
beadily                                      16449 lines
beads                                        20155 lines
beady                                        5531 lines
beak                                         17387 lines
beaked                                       3219 lines
beaky                                        7342 lines
beam                                         21089 lines
beamed                                       16653 lines
beaming                                      22042 lines
beams                                        20143 lines
beans                                        22001 lines
bear                                         21660 lines
bearable                                     7258 lines
beard                                        17954 lines
bearded                                      18807 lines
beardless                                    13798 lines
beards                                       7860 lines
bearing                                      20742 lines
beasts                                       19763 lines
beat                                         20498 lines
beaten                                       19252 lines
beater                                       15829 lines
beaters                                      3204 lines
beating                                      15063 lines
beautiful                                    21923 lines
beautifully                                  12622 lines
beaux                                        7950 lines
beaux-batons                                 8068 lines
beauxbatons                                  21931 lines
beaver                                       9016 lines
became                                       21834 lines
because                                      21918 lines
beckon                                       6951 lines
beckoned                                     16895 lines
beckoning                                    8697 lines
become                                       20546 lines
becomes                                      18171 lines
becoming                                     21224 lines
bed                                          21570 lines
bed-covers                                   21214 lines
bedecked                                     11926 lines
bedraggled                                   5114 lines
bedroom                                      4372 lines
beds                                         21924 lines
bedsheet                                     4136 lines
bedside                                      21697 lines
bedspread                                    4413 lines
bedtime                                      5648 lines
beef                                         16503 lines
been                                         22162 lines
bees                                         8194 lines
beetle                                       22070 lines
beetle-black                                 21757 lines
beetles                                      15572 lines
before                                       22258 lines
beforehand                                   20868 lines
beg                                          20045 lines
began                                        22244 lines
beggars                                      16765 lines
begged                                       6503 lines
begging                                      16279 lines
begin                                        18882 lines
beginning                                    21680 lines
begins                                       19807 lines
begun                                        18863 lines
behalf                                       10895 lines
behave                                       13719 lines
behaved                                      4052 lines
behavin                                      13792 lines
behaving                                     16761 lines
behavior                                     20760 lines
behind                                       22076 lines
being                                        21800 lines
belief                                       21867 lines
beliefand                                    21911 lines
believe                                      21866 lines
believed                                     21710 lines
believer                                     2576 lines
believes                                     14277 lines
believing                                    18087 lines
bell                                         21389 lines
bell's                                       10240 lines
bell-covered                                 5085 lines
belladonna                                   4587 lines
bellies                                      5886 lines
bellowed                                     20263 lines
bellowing                                    13100 lines
bellpulls                                    2239 lines
belly                                        19431 lines
belong                                       14008 lines
belonged                                     17717 lines
belonging                                    14093 lines
belongs                                      14315 lines
below                                        20640 lines
belt                                         11829 lines
bemused                                      3899 lines
bench                                        17980 lines
benches                                      21846 lines
bend                                         19862 lines
bending                                      20016 lines
beneath                                      21055 lines
benefit                                      2442 lines
benign                                       20588 lines
benignly                                     17707 lines
bent                                         21656 lines
ber                                          8438 lines
bered                                        9325 lines
